id,parent,lat,lon,name,location_type,pm_2.5,temp_f,temp_c,humidity,pressure,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,last_seen,model,adc,rssi,hidden,flagged,downgraded,age,brightness,hardware,version,last_update_check,created,uptime,is_owner,10min_avg,30min_avg,1hour_avg,6hour_avg,1day_avg,1week_avg
18845,,32.638784,-115.506639,COBACH BC co-location 1,outside,2.25,88.0,31.111111111111114,18.0,1021.74,,,,,,,,,,,,,2020-11-15 18:34:09,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,3.05,9.76,21.79,40.1,41.51,18.05
18777,,32.638784,-115.507755,COBACH BC co-location 2,outside,1.77,89.0,31.666666666666668,18.0,1021.24,,,,,,,,,,,,,2020-11-15 18:32:00,PMS5003+PMS5003+BME280,,,False,False,False,2,,,,,,,False,2.89,9.69,21.84,40.21,41.57,17.81
18803,,32.639814,-115.50754,COBACH BC co-location 3,outside,2.07,87.0,30.555555555555557,22.0,1017.38,,,,,,,,,,,,,2020-11-14 22:10:12,PMS5003+PMS5003+BME280,,,False,False,False,1224,,,,,,,False,2.66,3.48,8.62,40.57,41.75,16.24
928,,48.692729,-123.589758,Cobble Hill El,outside,3.1,46.0,7.777777777777779,73.0,991.49,,,,,,,,,,,,,2020-11-15 02:01:57,PMS5003+PMS5003+BME280,,,False,False,False,992,,,,,,,False,4.74,6.55,7.65,5.32,8.29,11.47
6356,,40.77445,-111.88332,Cobble Knoll,outside,0.34,59.0,15.0,21.0,868.13,,,,,,,,,,,,,2020-11-15 18:34:12,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,0.25,0.18,0.15,0.37,1.67,5.79
67561,,37.777693,-122.400762,Coca Cola,outside,34.5,61.0,16.11111111111111,58.0,1027.94,,,,,,,,,,,,,2020-11-15 18:33:03,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,33.66,29.64,26.07,16.61,11.19,12.23
61117,,37.545024,-122.512198,coco's hideaway,outside,21.0,65.0,18.333333333333336,52.0,1025.79,,,,,,,,,,,,,2020-11-15 18:33:05,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,20.14,21.21,19.77,15.69,12.91,13.41
11600,,37.804103,-122.221954,Coconut,outside,26.72,75.0,23.88888888888889,32.0,1020.16,,,,,,,,,,,,,2020-11-15 18:32:47,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,26.13,23.97,19.28,11.3,10.73,13.37
65395,,42.283713,-71.079375,Codman Square Stanton,outside,4.81,53.0,11.666666666666668,37.0,1016.77,,,,,,,,,,,,,2020-11-15 18:34:02,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,5.71,5.73,6.96,14.15,12.13,11.13
22481,,37.18671,-121.547108,Coe Ranch,outside,0.66,71.0,21.666666666666668,25.0,933.89,,,,,,,,,,,,,2020-11-15 18:32:50,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,0.78,0.77,0.69,1.1,3.15,8.02
79345,,43.876773,-116.495988,COE-Water Tower,outside,0.95,49.0,9.444444444444445,65.0,939.1,,,,,,,,,,,,,2020-11-15 18:32:37,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,1.58,1.09,1.11,3.83,6.71,6.05
35557,,-11.406617,-69.485501,COER MDD IBERIA,outside,5.21,103.0,39.44444444444444,33.0,976.8,,,,,,,,,,,,,2020-11-15 18:34:13,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,5.16,5.56,5.37,7.22,10.66,21.6
35565,,-13.10186,-70.371781,COER MDD MAZUKO,outside,2.7,99.0,37.22222222222222,31.0,968.47,,,,,,,,,,,,,2020-11-15 18:33:24,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,3.23,3.88,4.61,6.46,13.0,25.56
35553,,-12.599071,-69.194609,COER MDD PEM,outside,3.33,81.0,27.222222222222225,70.0,987.87,,,,,,,,,,,,,2020-11-13 06:01:29,PMS5003+PMS5003+BME280,,,False,False,False,3632,,,,,,,False,4.84,5.99,7.58,12.73,29.38,34.98
35485,,-12.278982,-69.150011,COER MDD PLANCHON,outside,2.74,101.0,38.333333333333336,34.0,979.93,,,,,,,,,,,,,2020-11-15 18:34:11,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,4.05,4.05,3.84,6.34,9.8,18.69
