id,parent,lat,lon,name,location_type,pm_2.5,temp_f,temp_c,humidity,pressure,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,last_seen,model,adc,rssi,hidden,flagged,downgraded,age,brightness,hardware,version,last_update_check,created,uptime,is_owner,10min_avg,30min_avg,1hour_avg,6hour_avg,1day_avg,1week_avg
76681,,38.076416,-122.830848,SFD,outside,2.4,63.0,17.22222222222222,49.0,1022.02,,,,,,,,,,,,,2020-11-15 18:33:18,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,2.78,3.46,3.72,3.28,3.18,6.05
35999,,37.59647,-122.394963,SFO Hills,outside,38.31,63.0,17.22222222222222,52.0,1024.24,,,,,,,,,,,,,2020-11-15 18:32:35,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,41.42,36.13,27.81,11.34,8.37,11.62
73899,,37.970248,-122.545518,SGA Sensor,outside,4.32,59.0,15.0,52.0,1021.2,,,,,,,,,,,,,2020-11-15 18:33:33,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,3.9,3.23,2.82,2.43,3.32,7.35
63237,,37.228606,-121.989565,SGP-Outdoors,outside,4.36,61.0,16.11111111111111,46.0,1010.37,,,,,,,,,,,,,2020-11-15 18:32:28,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,5.29,5.69,7.02,9.53,8.63,11.17
19151,,37.56081,-122.251834,Shad Park,outside,31.25,65.0,18.333333333333336,56.0,1027.94,,,,,,,,,,,,,2020-11-15 18:33:00,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,30.01,23.42,17.97,14.24,11.08,11.69
19461,,37.213375,-121.849657,Shadow Brook Swim Club,outside,12.79,67.0,19.444444444444446,45.0,1016.71,,,,,,,,,,,,,2020-11-15 18:34:10,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,11.5,9.49,8.1,10.43,10.32,12.5
75865,,37.804342,-121.891876,Shadow Creek,outside,4.92,74.0,23.333333333333336,31.0,1000.67,,,,,,,,,,,,,2020-11-15 18:33:34,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,4.56,3.99,3.6,4.68,5.82,5.84
85389,,37.801979,-121.892757,"Shadow Creek, Danville",outside,8.11,60.0,15.555555555555557,51.0,999.32,,,,,,,,,,,,,2020-11-15 18:33:33,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,10.9,11.48,11.8,13.72,11.81,7.55
75683,,37.584594,-122.503047,Shamrock Ranch,outside,2.62,73.0,22.77777777777778,35.0,1021.21,,,,,,,,,,,,,2020-11-15 18:34:02,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,2.22,1.82,1.75,3.16,5.21,7.18
55979,,37.712686,-121.942249,Shannon,outside,28.16,58.0,14.444444444444445,59.0,1012.71,,,,,,,,,,,,,2020-11-15 18:32:42,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,27.66,25.7,24.35,21.85,17.01,16.52
70375,,37.555184,-122.038783,Sharks,outside,24.09,61.0,16.11111111111111,54.0,1027.91,,,,,,,,,,,,,2020-11-15 18:33:03,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,24.73,26.4,27.75,29.02,19.4,15.04
64767,,36.961677,-121.96367,Sharks Cove,outside,16.41,60.0,15.555555555555557,61.0,1026.69,,,,,,,,,,,,,2020-11-15 18:32:32,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,19.95,17.52,14.38,11.72,11.36,13.77
77611,,37.426925,-122.207067,Sharon Heights,outside,13.25,61.0,16.11111111111111,50.0,1021.11,,,,,,,,,,,,,2020-11-15 18:33:38,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,11.95,8.38,6.06,7.24,7.5,8.76
61605,,37.424932,-122.207654,Sharon Park,outside,11.71,76.0,24.444444444444446,30.0,1019.26,,,,,,,,,,,,,2020-11-15 18:33:50,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,10.6,7.39,5.44,7.85,8.35,11.73
80985,,37.631471,-122.493644,Sharp Park Beach,outside,3.54,69.0,20.555555555555557,40.0,1026.61,,,,,,,,,,,,,2020-11-15 18:33:27,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,5.52,9.69,13.33,13.78,12.42,13.33
59663,,37.329918,-121.918436,Shasta neighborhood,outside,33.43,62.0,16.666666666666668,51.0,1023.79,,,,,,,,,,,,,2020-11-15 18:32:33,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,32.08,28.57,25.33,24.88,18.68,16.92
74183,,37.202442,-122.066773,Shear Creek,outside,0.19,67.0,19.444444444444446,19.0,932.44,,,,,,,,,,,,,2020-11-15 18:33:43,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,0.03,0.03,0.1,1.76,2.81,4.31
77545,,37.746136,-122.250539,Sheffield sensor,outside,34.98,66.0,18.88888888888889,49.0,1028.22,,,,,,,,,,,,,2020-11-15 18:34:23,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,33.63,29.49,25.85,21.08,15.24,12.0
55183,,37.733327,-122.136282,Sheffield Village,outside,28.25,62.0,16.666666666666668,54.0,1024.54,,,,,,,,,,,,,2020-11-15 18:33:44,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,21.18,16.92,13.22,9.94,10.65,14.29
75773,,37.313878,-122.274321,Shelden and Redwood,outside,37.49,68.0,20.0,91.0,679.96,,,,,,,,,,,,,2020-11-15 18:32:59,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,13.59,9.97,12.42,18.94,18.25,14.32
64731,,37.223215,-122.000452,Sheldon,outside,27.49,71.0,21.666666666666668,30.0,982.05,,,,,,,,,,,,,2020-11-02 17:02:03,PMS5003+PMS5003+BME280,,,False,False,False,18812,,,,,,,False,28.43,26.53,26.75,29.21,26.1,18.4
69541,,38.327559,-122.29209,Shelter Creek,outside,8.64,62.0,16.666666666666668,50.0,1027.15,,,,,,,,,,,,,2020-11-15 18:33:21,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,10.02,11.35,13.25,15.83,14.59,16.13
18971,,38.419733,-122.729424,Sheppard Accelerated Elementary School,outside,18.51,61.0,16.11111111111111,50.0,1023.11,,,,,,,,,,,,,2020-11-15 18:34:03,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,19.72,23.69,27.24,25.04,16.63,13.93
18787,,37.812756,-122.000245,Sheri Lane,outside,11.93,69.0,20.555555555555557,43.0,1012.47,,,,,,,,,,,,,2020-11-15 18:32:29,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,15.54,18.24,19.09,16.15,13.13,14.7
43871,,37.356762,-122.159826,Sherlock Road,outside,2.08,73.0,22.77777777777778,27.0,1000.26,,,,,,,,,,,,,2020-11-15 18:33:15,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,2.12,1.94,2.63,7.88,8.45,10.93
19471,,37.775501,-122.263675,Sherman Station,outside,31.53,62.0,16.666666666666668,59.0,1027.58,,,,,,,,,,,,,2020-11-15 18:33:05,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,32.59,30.01,26.02,21.19,16.25,15.6
85563,,37.92848,-121.699628,SHERWOOD,outside,16.9,72.0,22.22222222222222,34.0,1025.23,,,,,,,,,,,,,2020-11-15 18:32:55,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,16.3,15.13,13.59,14.61,15.18,9.54
16013,,37.736153,-122.457618,Sherwood Forest -- Lansdale Drive,outside,25.02,79.0,26.11111111111111,36.0,1001.22,,,,,,,,,,,,,2020-11-15 18:34:03,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,23.4,24.46,23.37,13.73,9.43,11.08
82475,,37.871822,-122.133257,Shire outdoor,outside,0.92,74.0,23.333333333333336,28.0,997.13,,,,,,,,,,,,,2020-11-15 18:32:30,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,1.09,1.33,1.55,4.69,7.53,8.0
78829,,37.762966,-122.415768,Shotwell Design Lab,outside,32.52,71.0,21.666666666666668,41.0,1026.96,,,,,,,,,,,,,2020-11-15 18:33:37,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,31.84,29.22,26.85,19.09,12.43,10.48
13201,,37.883784,-122.10053,Shurtz residence,outside,4.24,67.0,19.444444444444446,44.0,1011.89,,,,,,,,,,,,,2020-11-15 18:33:07,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,3.8,3.82,4.39,8.4,9.21,13.15
21597,,37.747886,-122.496263,SI Outdoor Monitor,outside,7.04,67.0,19.444444444444446,43.0,1019.53,,,,,,,,,,,,,2020-11-15 18:33:59,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,12.85,15.47,15.53,11.64,8.48,10.35
68633,,37.883927,-122.120677,Sibert Ct,outside,3.3,87.0,30.555555555555557,22.0,1014.06,,,,,,,,,,,,,2020-11-15 18:34:26,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,3.13,3.76,4.3,7.21,8.97,4.14
64757,,37.363559,-122.09433,Side yard alley,outside,9.49,62.0,16.666666666666668,43.0,1022.01,,,,,,,,,,,,,2020-11-15 18:33:29,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,8.73,7.64,6.99,9.61,9.54,12.43
19664,,37.794234,-122.236322,Side yard,outside,29.54,63.0,17.22222222222222,54.0,1022.5,,,,,,,,,,,,,2020-11-15 18:33:31,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,31.15,27.77,22.55,14.52,12.93,14.8
17337,,38.331309,-122.299402,Sierra and Diablo,outside,8.67,66.0,18.88888888888889,44.0,1027.55,,,,,,,,,,,,,2020-11-15 18:32:46,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,8.04,8.6,9.81,12.92,12.45,15.9
78133,,37.33725,-122.080175,Sierra Ventura-Los Altos,outside,4.45,63.0,17.22222222222222,37.0,1015.22,,,,,,,,,,,,,2020-11-15 18:32:32,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,4.66,4.73,4.67,8.76,9.65,10.44
19077,,37.412659,-121.782644,Sierra Vista Open Space Perserve,outside,0.0,77.0,25.0,27.0,953.04,,,,,,,,,,,,,2020-11-15 18:33:20,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0
38589,,37.665334,-122.41648,Sign Hill,outside,27.91,76.0,24.444444444444446,36.0,1018.15,,,,,,,,,,,,,2020-11-15 18:33:33,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,28.97,28.74,26.07,12.59,8.07,10.17
54397,,37.40811,-122.114561,SIlva Court,outside,22.16,64.0,17.77777777777778,47.0,1026.61,,,,,,,,,,,,,2020-11-15 18:33:30,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,24.07,20.41,16.63,15.34,12.6,13.79
73237,,37.728707,-122.417652,Silver,outside,30.64,73.0,22.77777777777778,39.0,1019.2,,,,,,,,,,,,,2020-11-15 18:32:57,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,31.6,30.77,28.83,16.07,9.78,9.58
14749,,37.28425,-121.78102,Silver Creek Valley CC,outside,25.43,70.0,21.11111111111111,42.0,1007.71,,,,,,,,,,,,,2020-11-15 18:32:32,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,24.32,24.21,24.3,22.03,15.29,15.39
75891,,38.061418,-122.818605,Silver Hills Point Reyes,outside,2.58,62.0,16.666666666666668,50.0,1023.26,,,,,,,,,,,,,2020-11-15 18:33:14,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,3.41,4.78,5.55,7.53,8.49,9.84
69127,,37.880952,-122.118828,Silver Springs,outside,1.82,84.0,28.88888888888889,25.0,1015.63,,,,,,,,,,,,,2020-11-15 18:34:09,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,2.71,3.91,4.65,7.43,8.5,11.25
66175,,37.731729,-122.399446,Silver Terrace,outside,30.94,60.0,15.555555555555557,60.0,1025.75,,,,,,,,,,,,,2020-11-15 17:02:59,PMS5003+PMS5003+BME280,,,False,False,False,91,,,,,,,False,28.13,26.77,24.45,14.49,10.63,11.86
72157,,38.345011,-122.264811,Silver Trail,outside,6.29,57.0,13.88888888888889,56.0,1025.14,,,,,,,,,,,,,2020-11-15 18:32:56,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,7.16,7.65,8.0,9.95,8.81,10.99
80099,,38.344408,-122.26599,Silver Trail,outside,6.18,59.0,15.0,49.0,1025.67,,,,,,,,,,,,,2020-11-15 18:33:35,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,8.87,9.59,9.8,11.65,9.72,9.53
65717,,37.275345,-121.938795,Silver&Black,outside,15.04,70.0,21.11111111111111,32.0,1020.76,,,,,,,,,,,,,2020-11-15 18:32:40,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,14.1,14.02,13.33,15.42,14.21,15.44
71559,,38.354589,-122.253405,Silverado Highlands,outside,4.36,59.0,15.0,46.0,1016.85,,,,,,,,,,,,,2020-11-15 18:34:13,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,5.22,5.27,4.96,4.04,5.11,11.64
41553,,38.123097,-122.584308,Simmons Ln,outside,5.12,63.0,17.22222222222222,41.0,1024.08,,,,,,,,,,,,,2020-11-15 18:33:31,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,4.28,4.52,4.76,5.79,6.09,9.77
19273,,37.821156,-122.209371,Sims Drive,outside,23.32,68.0,20.0,45.0,1004.95,,,,,,,,,,,,,2020-11-15 18:33:37,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,22.19,19.58,15.24,9.5,9.71,12.51
71439,,38.063006,-122.820417,Sir Francis Drake & Balboa Avenue,outside,5.56,51.0,10.555555555555555,72.0,1027.66,,,,,,,,,,,,,2020-11-15 18:32:41,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,3.44,2.43,2.42,2.21,2.96,6.7
17954,,37.364801,-122.078655,Sirius_Outdoor,outside,12.12,67.0,19.444444444444446,39.0,1021.76,,,,,,,,,,,,,2020-11-15 18:32:26,PMS5003+PMS5003+BME280,,,False,False,False,2,,,,,,,False,9.45,8.29,7.9,12.12,11.63,14.13
64347,,38.131185,-122.196738,sjames-out,outside,9.76,63.0,17.22222222222222,40.0,1014.74,,,,,,,,,,,,,2020-11-15 18:33:18,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,9.97,9.74,9.74,8.2,8.77,13.77
36559,,36.75225,-121.622324,SJGR Salinas,outside,5.98,65.0,18.333333333333336,42.0,1019.73,,,,,,,,,,,,,2020-11-15 18:33:07,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,7.15,9.12,9.62,11.52,9.74,12.08
83305,,37.333256,-121.882644,SJSU ISB,outside,33.93,70.0,21.11111111111111,89.0,698.04,,,,,,,,,,,,,2020-11-15 18:33:02,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,32.85,31.08,29.66,26.34,18.91,7.49
19711,,37.740306,-122.409841,Ski Bernal,outside,30.65,72.0,22.22222222222222,50.0,1024.12,,,,,,,,,,,,,2020-11-15 18:34:03,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,32.88,30.55,26.77,15.0,9.43,10.82
67197,,38.298514,-122.287669,Sky & Vine Rooftop Bar,outside,6.97,59.0,15.0,48.0,1025.57,,,,,,,,,,,,,2020-11-15 18:34:25,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,8.39,9.75,10.9,13.82,11.73,14.22
71537,,37.565212,-122.345234,Sky Gardens,outside,27.86,85.0,29.444444444444446,26.0,1024.51,,,,,,,,,,,,,2020-11-15 18:34:23,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,30.57,27.04,20.35,9.93,7.97,9.92
